trader_id,account_type,market_maker_registered,beneficial_owner_id
T-0001,market_maker,True,
T-0002,market_maker,True,
T-0003,market_maker,True,
T-0004,market_maker,True,
T-0005,market_maker,True,
T-0006,market_maker,True,
T-0007,market_maker,True,
T-0008,market_maker,True,
T-0009,market_maker,True,
T-0010,market_maker,True,
T-0011,prop_desk,False,
T-0012,prop_desk,False,
T-0013,prop_desk,False,
T-0014,prop_desk,False,
T-0015,prop_desk,False,
T-0016,prop_desk,False,
T-0017,prop_desk,False,
T-0018,prop_desk,False,
T-0019,prop_desk,False,
T-0020,prop_desk,False,
T-0021,prop_desk,False,
T-0022,prop_desk,False,
T-0023,prop_desk,False,
T-0024,prop_desk,False,
T-0025,prop_desk,False,
T-0026,prop_desk,False,
T-0027,prop_desk,False,
T-0028,prop_desk,False,
T-0029,prop_desk,False,
T-0030,prop_desk,False,
T-0031,retail,False,
T-0032,retail,False,
T-0033,retail,False,
T-0034,retail,False,
T-0035,retail,False,
T-0036,retail,False,
T-0037,retail,False,
T-0038,retail,False,
T-0039,retail,False,
T-0040,retail,False,
T-0041,retail,False,
T-0042,retail,False,
T-0043,retail,False,
T-0044,retail,False,
T-0045,retail,False,
T-0046,retail,False,
T-0047,retail,False,
T-0048,retail,False,
T-0049,retail,False,
T-0050,retail,False,
T-9033,prop_desk,False,BO-5001
T-9034,prop_desk,False,BO-5001
T-4821,prop_desk,False,
T-6610,prop_desk,False,
T-8802,prop_desk,False,
