event_id,event_type,timestamp,trader_id,account_id,instrument,side,order_id,quantity,price,order_type,session,related_order_id,is_aggressive
EVT-20260217-0442926,ORDER_PLACE,2026-02-17T09:30:00.818349,T-0015,T-0015,AAPL,BUY,ORD-T-0015-005040,10600.0,174.65,LIMIT,REGULAR,,False
EVT-20260217-0442979,ORDER_PLACE,2026-02-17T09:30:03.077396,T-0046,T-0046,AMZN,SELL,ORD-T-0046-004389,1100.0,184.93,LIMIT,REGULAR,,True
EVT-20260217-0442942,ORDER_PLACE,2026-02-17T09:30:07.383338,T-0024,T-0024,MSFT,BUY,ORD-T-0024-004273,2100.0,400.35,LIMIT,REGULAR,,False
EVT-20260217-0442953,ORDER_PLACE,2026-02-17T09:30:07.449364,T-0028,T-0028,TSLA,BUY,ORD-T-0028-005420,45200.0,249.89,LIMIT,REGULAR,,True
EVT-20260217-0442929,ORDER_PLACE,2026-02-17T09:30:12.086599,T-0020,T-0020,TSLA,SELL,ORD-T-0020-005472,29000.0,250.4,LIMIT,REGULAR,,False
EVT-20260217-0442962,ORDER_PLACE,2026-02-17T09:30:12.911701,T-0039,T-0039,TSLA,BUY,ORD-T-0039-004653,300.0,249.72,LIMIT,REGULAR,,False
EVT-20260217-0442960,ORDER_PLACE,2026-02-17T09:30:13.180093,T-0037,T-0037,AMZN,SELL,ORD-T-0037-004761,100.0,184.8,LIMIT,REGULAR,,False
EVT-20260217-0442946,ORDER_PLACE,2026-02-17T09:30:14.318601,T-0026,T-0026,MSFT,SELL,ORD-T-0026-004507,11100.0,399.65,LIMIT,REGULAR,,False
EVT-20260217-0442911,ORDER_PLACE,2026-02-17T09:30:15.547735,T-0007,T-0007,NVDA,BUY,ORD-T-0007-005806,3900.0,799.14,LIMIT,REGULAR,,False
EVT-20260217-0442944,ORDER_PLACE,2026-02-17T09:30:16.141543,T-0026,T-0026,MSFT,SELL,ORD-T-0026-004506,13600.0,400.66,LIMIT,REGULAR,,False
EVT-20260217-0442913,ORDER_PLACE,2026-02-17T09:30:16.924715,T-0008,T-0008,AAPL,BUY,ORD-T-0008-004999,4800.0,175.26,LIMIT,REGULAR,,False
EVT-20260217-0442982,ORDER_PLACE,2026-02-17T09:30:17.146532,T-0047,T-0047,AAPL,SELL,ORD-T-0047-004847,700.0,174.98,LIMIT,REGULAR,,True
EVT-20260217-0442970,ORDER_PLACE,2026-02-17T09:30:17.481733,T-0043,T-0043,NVDA,BUY,ORD-T-0043-005042,1100.0,800.72,LIMIT,REGULAR,,False
EVT-20260217-0442943,TRADE_EXECUTE,2026-02-17T09:30:18.165766,T-0024,T-0024,MSFT,BUY,ORD-T-0024-004273,2100.0,400.34,LIMIT,REGULAR,EVT-20260217-0442942,False
EVT-20260217-0442920,ORDER_PLACE,2026-02-17T09:30:18.380658,T-0013,T-0013,TSLA,SELL,ORD-T-0013-006206,12300.0,250.45,LIMIT,REGULAR,,False
EVT-20260217-0442963,ORDER_PLACE,2026-02-17T09:30:18.900421,T-0039,T-0039,TSLA,SELL,ORD-T-0039-004654,300.0,249.73,LIMIT,REGULAR,,False
EVT-20260217-0442978,ORDER_PLACE,2026-02-17T09:30:20.042681,T-0046,T-0046,AMZN,BUY,ORD-T-0046-004388,800.0,185.29,LIMIT,REGULAR,,False
